Geneid	Sample	Source	Stage	Tissue	Logcpm
ENSG00000231535	AF_Colon	A	Fetus	Colon	0
ENSG00000099725	AF_Colon	A	Fetus	Colon	0.03523286286066421
ENSG00000233864	AF_Colon	A	Fetus	Colon	0
ENSG00000114374	AF_Colon	A	Fetus	Colon	0.06962575686135525
ENSG00000067048	AF_Colon	A	Fetus	Colon	0.03523286286066421
ENSG00000183878	AF_Colon	A	Fetus	Colon	0.03523286286066421
ENSG00000165246	AF_Colon	A	Fetus	Colon	0.03523286286066421
ENSG00000176728	AF_Colon	A	Fetus	Colon	0
ENSG00000185275	AF_Colon	A	Fetus	Colon	3.789815424715312
ENSG00000131002	AF_Colon	A	Fetus	Colon	0
ENSG00000012817	AF_Colon	A	Fetus	Colon	0
ENSG00000198692	AF_Colon	A	Fetus	Colon	0.03523286286066421
ENSG00000129824	AF_Stomach	A	Fetus	Stomach	4.507927761068996
ENSG00000067646	AF_Stomach	A	Fetus	Stomach	1.9053252214546958
ENSG00000231535	AF_Stomach	A	Fetus	Stomach	0.9375787518146093
ENSG00000099725	AF_Stomach	A	Fetus	Stomach	2.407990712217686
ENSG00000233864	AF_Stomach	A	Fetus	Stomach	2.005451182296231
ENSG00000114374	AF_Stomach	A	Fetus	Stomach	2.6375308421448365
ENSG00000067048	AF_Stomach	A	Fetus	Stomach	2.5867143553207796
ENSG00000183878	AF_Stomach	A	Fetus	Stomach	3.1474544079209412
ENSG00000165246	AF_Stomach	A	Fetus	Stomach	2.3482264906092927
ENSG00000176728	AF_Stomach	A	Fetus	Stomach	2.791314258496511
ENSG00000185275	AF_Stomach	A	Fetus	Stomach	2.930272777743429
ENSG00000131002	AF_Stomach	A	Fetus	Stomach	1.8632445480961841
ENSG00000012817	AF_Stomach	A	Fetus	Stomach	4.063659485246277
ENSG00000198692	AF_Stomach	A	Fetus	Stomach	0.6710760497893404
ENSG00000129824	BA_Colon	B	Adult	Colon	6.0500239890844325
ENSG00000067646	BA_Colon	B	Adult	Colon	4.614019083402279
ENSG00000231535	BA_Colon	B	Adult	Colon	3.4529507425485106
ENSG00000099725	BA_Colon	B	Adult	Colon	3.382670105885153
ENSG00000233864	BA_Colon	B	Adult	Colon	3.2832974538240474
ENSG00000114374	BA_Colon	B	Adult	Colon	5.455129569071056
ENSG00000067048	BA_Colon	B	Adult	Colon	5.287885947939792
ENSG00000183878	BA_Colon	B	Adult	Colon	5.782266928540721
ENSG00000165246	BA_Colon	B	Adult	Colon	2.0440638926340755
ENSG00000176728	BA_Colon	B	Adult	Colon	2.507435378938552
ENSG00000185275	BA_Colon	B	Adult	Colon	7.324351577414323
ENSG00000131002	BA_Colon	B	Adult	Colon	6.625175884209518
ENSG00000012817	BA_Colon	B	Adult	Colon	5.566754754339502
ENSG00000198692	BA_Colon	B	Adult	Colon	4.084693340826584
ENSG00000129824	BA_Heart	B	Adult	Heart	4.807312706878714
ENSG00000067646	BA_Heart	B	Adult	Heart	3.5210702592196266
ENSG00000231535	BA_Heart	B	Adult	Heart	0.25303339407298575
ENSG00000099725	BA_Heart	B	Adult	Heart	2.85411140939285
ENSG00000233864	BA_Heart	B	Adult	Heart	3.290824777381272
ENSG00000114374	BA_Heart	B	Adult	Heart	5.813639541655172
ENSG00000067048	BA_Heart	B	Adult	Heart	4.465198560267993
ENSG00000183878	BA_Heart	B	Adult	Heart	4.8382591304891
ENSG00000165246	BA_Heart	B	Adult	Heart	0.7406992625596702
ENSG00000176728	BA_Heart	B	Adult	Heart	2.6780349668986636
ENSG00000185275	BA_Heart	B	Adult	Heart	0.400009862633116
ENSG00000131002	BA_Heart	B	Adult	Heart	4.1491526229336255
ENSG00000012817	BA_Heart	B	Adult	Heart	4.817157163770041
ENSG00000198692	BA_Heart	B	Adult	Heart	5.679761947648844
ENSG00000129824	BA_Kidney	B	Adult	Kidney	5.507416173014379
ENSG00000067646	BA_Kidney	B	Adult	Kidney	3.918879250020013
ENSG00000231535	BA_Kidney	B	Adult	Kidney	2.655836264039806
ENSG00000099725	BA_Kidney	B	Adult	Kidney	1.9785681039024885
ENSG00000233864	BA_Kidney	B	Adult	Kidney	3.786558613585855
ENSG00000114374	BA_Kidney	B	Adult	Kidney	6.0896867614526595
ENSG00000067048	BA_Kidney	B	Adult	Kidney	5.095065572555533
ENSG00000183878	BA_Kidney	B	Adult	Kidney	5.5791723339886055
ENSG00000165246	BA_Kidney	B	Adult	Kidney	2.441546536997177
ENSG00000176728	BA_Kidney	B	Adult	Kidney	2.7476760382593386
ENSG00000185275	BA_Kidney	B	Adult	Kidney	5.7554526610161885
ENSG00000131002	BA_Kidney	B	Adult	Kidney	5.052481098433488
ENSG00000012817	BA_Kidney	B	Adult	Kidney	4.922546490451743
ENSG00000198692	BA_Kidney	B	Adult	Kidney	3.0657885248767087
ENSG00000129824	BA_Liver	B	Adult	Liver	5.896741912922614
ENSG00000067646	BA_Liver	B	Adult	Liver	3.9719106264525057
ENSG00000231535	BA_Liver	B	Adult	Liver	0.6837553206790665
ENSG00000099725	BA_Liver	B	Adult	Liver	1.587607541034432
ENSG00000233864	BA_Liver	B	Adult	Liver	2.465725524181357
ENSG00000114374	BA_Liver	B	Adult	Liver	4.026605990741976
ENSG00000067048	BA_Liver	B	Adult	Liver	4.1829618865398
ENSG00000183878	BA_Liver	B	Adult	Liver	4.655694255898063
